Entidad,Quintil,Año,Hombres,Mujeres,%_Hombres_quintil,%_Mujeres_quintil,%_hombres_sexo,%_mujeres_sexo,,,,,,,,,,
Tlaxcala,II,2018,71233,81723,19.4,32.5,46.6,53.4,,,,,,,,,,
Veracruz-Llave,II,2018,704118,448787,192.0,178.5,61.1,38.9,,,,,,,,,,
Yucatan,II,2018,114585,105875,31.2,42.1,52.0,48.0,,,,,,,,,,
Zacatecas,II,2018,89655,61316,24.4,24.4,59.4,40.6,,,,,,,,,,
Nacional,III,2018,6998477,4383539,20.8,19.4,61.5,38.5,,,,,,,,,,
Aguascalientes,III,2018,73251,52830,20.0,21.0,58.1,41.9,,,,,,,,,,
Baja California,III,2018,157229,141418,15.5,21.9,52.6,47.4,,,,,,,,,,
Baja California Sur,III,2018,34763,29020,13.6,19.6,54.5,45.5,,,,,,,,,,
Campeche,III,2018,54519,25999,21.1,14.5,67.7,32.3,,,,,,,,,,
Chiapas,III,2018,134143,102466,16.2,20.5,56.7,43.3,,,,,,,,,,
Chihuahua,III,2018,45437,36415,21.3,22.8,55.5,44.5,,,,,,,,,,
Coahuila De Zaragoza,III,2018,238316,76638,16.9,7.7,75.7,24.3,,,,,,,,,,
Colima,III,2018,196569,168817,19.3,25.3,53.8,46.2,,,,,,,,,,
Distrito Federal,III,2018,440434,331671,19.0,18.6,57.0,43.0,,,,,,,,,,
Durango,III,2018,120689,73139,26.4,26.8,62.3,37.7,,,,,,,,,,
Guanajuato,III,2018,381935,276808,24.3,26.0,58.0,42.0,,,,,,,,,,
Guerrero,III,2018,153204,77141,16.6,11.4,66.5,33.5,,,,,,,,,,
Hidalgo,III,2018,179541,101897,22.0,17.1,63.8,36.2,,,,,,,,,,
Jalisco,III,2018,413654,330266,18.3,20.5,55.6,44.4,,,,,,,,,,
Mexico,III,2018,1142000,707391,23.7,22.6,61.8,38.2,,,,,,,,,,
